6000011,C,4,94217842713740281
6000023,C,16359508,31914082408
6000041,C
6000047,C,4
6000053,C,3,2496
6000061,C
6000073,C,3,192
6000101,C,1540
6000103,C,56,575093477
6000109,C,32
6000119,C,1,4116,68872
6000121,C,398754071,2137984259
6000149,C,25080
6000157,C,643376642328
6000173,C
6000191,C,1
6000199,C
6000221,C,1684543
6000229,C
6000233,C,12
6000271,C,29
6000277,C,29267
6000283,C,39281
6000301,C,217993633283,222418082460
6000307,C,39960824135369
6000317,C,1258719,4399692901027
6000343,C,1224053,87625625
6000373,C,1075817927,2294617971
6000377,C,8878908072,2230861404868
6000389,C,249166293000
6000403,C,896460057220044872
6000427,C
6000431,C,5246958568
6000457,C
6000479,C,1,85
6000481,C,4788,30427003516515
6000503,C,37924333001828152
6000529,C,4424432,1401503015532063084
6000551,C,94906020501
6000557,C
6000569,C,17685112716,255465478690044
6000571,C,4740652188
6000581,C,19176,40908,369212442631684
6000611,C,4380,1907973,28670598948
6000619,C,41
6000641,C
6000653,C,988,19605895,729651680356
6000679,C,4063566885322337
6000703,C,21,57,741,174371025,76372037899195041
6000733,C
6000773,C,747884271
6000793,C,48
6000803,C,52,141
6000809,C,4,1292011226231774839
6000821,C
6000823,C,5,108
6000829,C,20
6000853,C,20,1807263
6000857,C,144234483
6000859,C
6000889,C
6000893,C
6000899,C,1,36841,41529497517
6000937,C,47,112083,196227881277512
6000961,C,44276550884
6000977,C,3535794873310114252
6001013,C,163,300474994467
6001019,C,24
6001033,C,3
6001043,C,1
6001049,C,7,111,439540
6001063,C,22005
6001069,C,930716,2173160
6001087,C,473220
6001109,C
6001147,C,7846799992389312
6001157,C,434591220711895,7952880436187200215
6001189,C
6001201,C,839,623118548
6001217,C
6001249,C,124587,56376653361800
6001253,C
6001271,C,125502514173559575133
6001277,C
6001291,C,8,221
6001297,C,13835919,461826956495
6001339,C,5
6001343,C
6001351,C,7871073254388
6001427,C,112,6060062676573
6001433,C,3733588
6001439,C
6001447,C,773
6001453,C
6001469,C,55
6001483,C,8,1257
6001517,C,4,360,3871183
6001531,C,79040
6001547,C
6001577,C,27,39439404
6001601,C,88
6001609,C,92,322336319679
6001613,C
6001627,C
6001669,C
6001673,C,196,467342484856,12143765984923,14685179715827574880
6001679,C,1,26817
6001717,C,419,1824,29268684893060
6001727,C,3220
6001741,C,207744,2319514159739
