7000003,C
7000009,C,519
7000033,C,10008975
7000057,C,255260,10708103,14778464,71937810075
7000061,C
7000069,C
7000087,C,543132,278564649
7000109,C,232
7000121,C,4,4284
7000127,C
7000129,C
7000157,C
7000163,C,912232614321
7000171,C
7000181,C,2673820
7000219,C,20
7000241,C,3,231,5259
7000249,C,659,21615283944961078976
7000267,C,9773
7000297,C
7000309,C,147,2815640595
7000313,C
7000333,C
7000337,C,265344777594869719
7000351,C,55739205
7000373,C,3,36
7000391,C,940695330884181
7000429,C,1442345991
7000459,C
7000517,C,51731681808,8052942951879
7000519,C
7000523,C,8657780352796
7000541,C,70492693555
7000573,C
7000577,C,3,1868988579
7000589,C,12,27,20869839,27547137016
7000619,C,60
7000633,C,48
7000657,C,3
7000661,C
7000663,C,444445940,1113557036
7000673,C,27,6130312
7000703,C
7000727,C
7000739,C,1,4,666937,28226388201
7000751,C,9,89503341,63824206680
7000757,C,163115647
7000793,C
7000811,C
7000831,C,14768235802837313
7000841,C,332536,8298453557335
7000849,C,2679030730523423412
7000913,C,27
7000943,C,120
7000969,C,82952,11701647826659
7001003,C,1,1064821
7001011,C
7001021,C,3,8328019
7001041,C,3924242703791
7001047,C
7001051,C,25563705
7001069,C
7001077,C
7001083,C
7001087,C,26749,286600,235404528,810264136086373053
7001089,C,46644
7001107,C,56552315385
7001123,C,862585
7001213,C,6075,2260155,9248592
7001221,C
7001233,C
7001237,C,24,11239,45087
7001249,C,15075567498844
7001273,C,2203
7001279,C,29181917677,88189948767172
7001287,C,20,11949,24471453
7001311,C,1131600836004
7001317,C,1985797464
7001327,C,542257
7001341,C
7001347,C,52344008
7001359,C
7001369,C,7,175,5617071183694176055
7001377,C
7001387,C
7001411,C
7001413,C
7001429,C,111194725404
7001431,C,10222625765,38092110008189
7001437,C,115404889535468
7001479,C,61494259197,650560963812
7001507,C,48
7001513,C,3168,36410128
7001537,C
7001581,C,338976,720574500
7001587,C,57
7001597,C,133524
7001639,C
7001653,C,57183288
7001663,C,12
7001669,C,2144211624
7001681,C
7001689,C
7001713,C,11,12,3132116,6796816863
7001723,C,1
7001767,C,198513
7001779,C
7001783,C,1488,5076
7001803,C,17
7001831,C
7001851,C,21,23503008245
7001879,C,81,87244
7001887,C,16812,99704,13863524,40893944,36453126006057
7001893,C,291
7001921,C
7001923,C,1140
7001927,C
7001999,C,103861
7002019,C,5,7544
7002029,C
7002041,C
7002053,C,3,67,487
7002059,C
7002067,C,4695688209
7002071,C,1
7002101,C
7002109,C,84,1815694124
7002131,C,38681255220
7002157,C,27982700
7002161,C,1120,17464169316
7002167,C,1035477
7002197,C
7002199,C,104,16440
7002217,C
7002221,C
7002223,C,6113,510420,8966989461
7002227,C,23620,24420
7002257,C
7002293,C,51,108976
7002319,C
7002337,C
7002353,C,164192465487
7002367,C,7977237,10834954677,25101080837,214309895345,4516647488337
7002377,C,29070101712,2394367559312923
7002383,C
7002397,C,3,2137507957148
7002409,C,32,349116,13171001569851
7002433,C
7002439,C
7002449,C
7002451,C
7002491,C,1,5773,2497476494941
7002529,C,107486664971,110277090227319,8111668341866480
7002539,C,88101
7002551,C,16,6211490589
7002581,C,12756843
7002587,C,11277,6514013510908
7002599,C
7002613,C,315
7002629,C,10704650395
7002631,C
7002637,C,8
7002641,C,1111489120
7002673,C,55533200
7002689,C,15511,2998872,5010699
7002701,C,1356136,514358815
7002703,C
7002713,C
7002719,C,657
7002733,C
7002781,C,89891
7002791,C,109360,82530396,1423449594096913
7002803,C
7002823,C
7002839,C,3924
7002871,C,2296916
7002881,C,51595
7002883,C,17,12885,803880
7002889,C,3864725820
7002899,C,1,258440065603392
7002917,C,4
7002973,C,18380
7002979,C,2412,23664,885381
7002991,C,73640,1331280684
7003021,C,3
7003057,C
7003079,C
7003081,C
7003091,C,1,6405360993,7755223141,1482240545425
7003093,C
7003097,C,3,3687
7003103,C,738280,679869293019378557745
7003111,C,774596
7003121,C,421695
7003127,C,133
7003163,C,604245
7003189,C,82412,338054679
7003207,C
7003223,C
7003231,C,3904596
7003273,C,2427,10135175469756
7003289,C,27
7003313,C
7003327,C,309486283999144886477
7003351,C
7003357,C,10923
7003361,C
7003379,C
7003393,C,152
7003411,C
7003421,C,259,118132399036
7003463,C
7003487,C
7003537,C,27828
7003543,C,8409932388541026447396605
7003561,C,188
7003573,C,220794671,3733051343
7003589,C,1814835,106953444,61277256951
7003603,C
7003639,C,5
7003651,C,1568,5298578829
7003657,C,4983,69288
7003679,C,1
7003687,C,3225479985312
7003697,C,53199,5109132
7003721,C
7003727,C
7003729,C,2715
7003739,C,4
7003741,C,254975
7003757,C
7003769,C
7003771,C,57824
7003781,C
7003783,C
7003807,C,77053304
7003811,C
7003849,C,2796
7003859,C
7003879,C
7003889,C,585231,1923180,997617700
7003901,C,28
7003933,C
7003939,C,29813745
7003943,C,1,5285303008576
7003957,C
7003961,C,191179
7003963,C
7003991,C
7003999,C
7004009,C,28343076
7004057,C
7004059,C,22395312,369249869
7004069,C
7004077,C,660
7004083,C,1236,22796
7004087,C,2053,3477,184463545
7004093,C
7004099,C,1
7004111,C
7004117,C
7004143,C,8277,17311142316,4504126752177
7004149,C,711,375747,903152727
7004159,C,32778789,11062053115992
7004189,C,2612760
7004191,C
7004197,C
7004201,C
7004237,C,126627,280268115
7004243,C,1939905
7004279,C,5325786864
7004281,C,138224
7004297,C
7004329,C
7004339,C,12050757
7004353,C,419133416800582547458787
7004383,C,8
7004401,C
7004429,C,4,6045408192
7004441,C
7004461,C
7004471,C,1896
7004477,C,55949124
7004497,C
7004509,C,10392,9698987
7004513,C,30112069020
7004593,C,16491,470820
7004603,C,1165152343413
7004609,C,115
7004611,C,5,129996,6145445,120931364
7004623,C
7004633,C
7004651,C,27816
7004677,C,3132092
7004681,C
7004713,C
7004717,C,444,719392
7004737,C
7004741,C,23432444729463
7004759,C,1,5992,9541632,112027078984
7004771,C,97885
7004797,C
7004843,C,128436,369136
7004873,C,12,6320095480
7004887,C
7004897,C,92608
7004909,C,4
7004911,C
7004941,C,171
7005013,C,3180
7005017,C
7005023,C
7005059,C,1
7005077,C,64111383
7005107,C
7005113,C,1606216
7005121,C
7005127,C
7005151,C
7005161,C,4
7005181,C,237325372674786993144
7005197,C,32181990948
7005199,C
7005203,C,1,153,827982337
7005227,C,190546958068
7005239,C,97489,8293231060
7005277,C,8279
7005293,C,210398865794673290088
7005331,C
7005347,C,4132,8850270170313
7005359,C,1,18955755353617
7005371,C,1,532481869
7005373,C
7005391,C
7005403,C,264084441,44811762208412
7005419,C
7005421,C,47031,13064796,19404064080
7005451,C,34166761329081
7005463,C,48,465,84012
7005511,C,616368
7005521,C,3,7604239,60583570176
7005527,C
7005529,C
7005541,C
7005569,C,17536,543367687
7005571,C
7005613,C,12
7005619,C,5576
7005637,C
7005643,C
7005673,C,3
7005697,C,45668,118560,30652944,56567981295
7005703,C,773,2607021953516
7005727,C
7005743,C,25,3877
7005763,C
7005767,C,142924416804319336722753
7005787,C,1137,4197
7005809,C,7
7005821,C,37891,716245539,6785253751,806143439823,5996000011116
7005827,C
7005847,C,2305733085988904881913
7005863,C
7005877,C,5202620,280456587,656121739808
7005899,C,1,57194185465
7005917,C,99235
7005931,C,109733710941
7005941,C
7005953,C
7005959,C
7005979,C,12
7005983,C,117,1005712
7005997,C
7006063,C,125293088
7006133,C,207,4379367
7006141,C
7006147,C
7006157,C,84
7006171,C
7006177,C
7006183,C,45
7006187,C,1668
7006189,C,359
7006201,C,581502983
7006211,C,2148387709,4435122086068
7006247,C
7006289,C
7006297,C
7006303,C,8868,183794748405
7006319,C
7006331,C,9
7006343,C,21,1813620,45643134900,150336703281,151721026057
7006361,C,4
7006379,C,50649
7006381,C,50069563611920145615
7006393,C,11,3315862820
7006423,C,12,50828
7006451,C,108,12796669
7006457,C
7006477,C,10200
7006481,C,152103,125486437911
7006537,C,3
7006541,C
7006553,C,71241279747
7006561,C,10671
7006577,C
7006607,C,2928,97264722877
7006621,C,3
7006627,C,10497
7006633,C,36,2920342510080
7006639,C,77076,253680,567681249,248060658257
7006667,C
7006679,C,11376,142318777
7006693,C
7006709,C
7006723,C,485,24920868,67548167743160,224343030317387129181
7006729,C
7006733,C
7006751,C,13,193126689
7006757,C,115,12107883487,4326390431623
7006787,C
7006799,C,276,5056281
7006817,C,35957546945875
7006823,C,1418596,2803835053
7006829,C,6699,63000,12276290102464692
7006843,C,12,17
7006849,C,2542584134899800
7006871,C,228,1881
7006891,C,9,120502548
7006903,C,320,1602153
7006933,C
7006963,C,2911610108
7006969,C,15
7006981,C,3,3719600
7006997,C
7006999,C,12,692,332618684
7007003,C,345537700
7007027,C,1248,4908,169989
7007041,C,48635470488,15350066303006458796
7007069,C
7007071,C,1500135195636
7007081,C,75,87643
7007083,C,12
7007087,C,4,184,21992271312
7007101,C,21276
7007107,C,29
7007113,C
7007137,C,3,624,49260
7007149,C
7007159,C,25,2934397996
7007173,C,20,2891,8958548
7007177,C,28,72
7007191,C,21
7007227,C,8241402017
7007267,C,27971377
7007303,C,1,72
7007309,C
7007311,C,381
7007317,C
7007347,C
7007353,C,1961097227
7007369,C,43276519
7007389,C,11,4515,1352396,2595332,1535258079800
7007401,C
7007411,C,284005
