2,P
3,P
5,P
7,P
11,F,1
13,P
17,P
19,P
23,F,1
29,F,4,19
31,P
37,F,3
41,F,163
43,F,5,113
47,F,25,48
53,F,60,655
59,F,1525
61,P
67,F,1445580
71,F,1609,341860
73,F,3,15740
79,F,17,1278669
83,F,1
89,P
97,F,59
101,F,36793758459
103,F,12379533
107,P
109,F,3421967
113,F,15,103,292,8268
127,P
131,F,1
137,F,116905896337578232
139,F,20236572837
149,F,290792847537859675
151,F,60,185,549,7725
157,F,2713800,193396319,5267700692
163,F,461,2160,338072,84874596
167,F,7033
173,F,2112,4351,202556175469807
179,F,1,4
181,F,120,3216,21128
191,F,1,18504108,104555320,870640095600
193,F,35807,159726529101679638903
197,F,19
199,F,413328944
211,F,36,142826910980660780
223,F,41,441,3288,6540,3294832426903094448
227,F,59441263078804
229,F,3284,44744,130640736823079
233,F,3,291,1336
239,F,1,4,12,369,280336
241,F,45644
251,F,1,108,355040412777018505,122862315136843142433
257,F,1040867974347,2248415165849453662788
263,F,45,25802784276,228567225355225281414517
269,F,25692
271,F,28122648
277,F,2024,56197899468610486429965900812982680
281,F,144
283,F,17,121011452
293,F,68468195316751232032632
307,F,23793,139737,38253393,128587544
311,F,8593,4256671019148239804612453485
313,F,17508,23622956385272,6161652978097669593096
317,F,15,926644355651167,7678426926375548961460
331,F,25585180013,1306825986309
337,F,27,4164,142081904,1078019132
347,F,20379235033072957377
349,F,2550105915,49742688070505240401032752571
353,F,1320,4146537502550002782035135333136
359,F,1,1192,1083796,91751156027689,516582981538290787507380923555697
367,F,17,70560,106455833628,410505608366347567366108800
373,F,34275
379,F,238547241
383,F,1881,9706912,657732433687442727213561,19810605167990616993235556596776
389,F,72595,6125551
397,F,3,8,63,68,255,7403,1025356262983025929396582943,1555294979314861804210127388
401,F,1068543099,2664537363497406840,741319327741826961558456735576
409,F,5477586879,92940863924
419,F,1,1078496445840,6921745485349443044409,12276812511147699558587301953006484
421,F,729219629819
431,F,1,4,42040,89164,647404,5385328,165719620416493564
433,F,25504348057040216,851903422416335548356,5806775788119763396403
439,F,118577,145013088449,139580583978363389
443,F,1,234558680196
449,F,1399,7651667580,3985100909207468799,586175650075780834567869898112371
457,F,164472
461,F,3,388534551455283,7699949820784431
463,F,12,3680,484608640380,259105908217988856540228,416421792724285191380417
467,F,130200,1230176164760070874708096363689604646103560561828665669
479,F,34849,6569356,713446184883132858337595119074867130656649590425655420
487,F,5
491,F,1,7849,112115515608,7104324900739021,20336970589229323678096296,3785685006557820238072175808467809
499,F,21,2002452126965073693318242837940
503,F,3194517877713,12086468244667297,1861859508013002877
509,F,12396,18751944838040179,635683414188492020392
521,P
523,F,153144147526961872476619202073497790566757840474666773357760485697
541,F,3985943,5651765244,71299859791896367349492626716,835588313661643903191990068490995
547,F,5,157879894550412,144014804505116585
557,F,3,19743,4098302469851394787,19796441738707557693565997833515
563,F,2500663481577834282316,11811024844469650028821012810156
569,F,13932,48744,160459374354736466705248275,97172521578509406460811965645304597760
571,F,5,24,6102746588906888939150500201489311817689870864275700129795212500802253
577,F,3,114649717779
587,F,472,2493,33631457212,62357992593479473,3175723052318602753525
593,F,88,2581066026231493848,3395460777201618687650887406378967580
599,F,13905992516366780932,123786554244136125171725640607316128506652
601,F,3,53963,535266855987376266894280834492190254167253964252135987396
607,P
613,F,36378039831231,271466331786553171120983235346288
617,F,48,55878544,127837907710879566852226525462728102210072451900
619,F,89,574168817,88351116050949351531254022806311719001326785292609885666562401
631,F,264364512763269,376102107918807355489761157433286705645
641,F,28,39,915628,1873056857994950613046920,581338768123588616401237850477545378843918239311493645916136183539
643,F,2480,17521328967811563160984751986309042638544484630484008487628990127232
647,F,234392431320945824133,8889013727149888422862002153
653,F,60151,221928,12257678054175787516,2331499330649991718253655,2899469466450852008683551
659,F,1,8746152714364680,475390715184884683355194899736
661,F,1006256,2549288569719,763356919880757356328,89576616692183695022850927710835
673,F,431771,30670980411128265768893532303506854586547,50814836235450201847795781841271969420698378516410964383
677,F,1435095,392269362732161020,722412543566202190204,39604957674980682059171301559465604263679396824479
683,F,1,318328330243491723862169808504428156149171408699445580089382080659196788248
691,F,656036616,7589117244808860,2050389091481867340400428,12037772752872841727339333
701,F,568,2128,20551,765923755,7121201136,11316389583,29020633608
709,F,152940,981414824580464
719,F,1,537,512915746446061569473794791400251689160521551036
727,F,12108866376764397550161541865427518343038164488614374465439786407548571064766916617789179175969
733,F,473842787,9822060810959124926290564092360,9514619782401960290381482856975628
739,F,124900579511240374236,32510611355948582125037526245,1733087543134756759740901357659768349755653961556389214143598281510339773418129
